AUTOR;DATA;NOME DO LOCAL;SOLO/ÁGUA;CARACTERÍSTICA LOCAL;STATUS AMBIENTAL;Latitude 1;Longitude 2;PONTO;TRATAMENTO;ESTADO DO SOLO;pH;TEMPERATURA;MATÉRIA ÔRGANICA;OD (mg/L);COND (µc/cm);OD (%);RÉPLICA;CÂMARA;CO2 flux (mg/m2/day)
Thiago Pereira ;01/11/2022;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;42844.84
Thiago Pereira ;01/11/2022;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;32096.86
Thiago Pereira ;01/11/2022;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;8861.40
Thiago Pereira ;01/11/2022;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;15974.03
Thiago Pereira ;01/11/2022;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;21384.70
Thiago Pereira ;01/11/2022;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;75298.84
Thiago Pereira ;01/11/2022;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;51683.92
Thiago Pereira ;01/11/2022;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;89045.45
Thiago Pereira ;01/11/2022;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;38758.64
Thiago Pereira ;01/11/2022;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;69003.48
Thiago Pereira ;01/11/2022;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;-83375.55
Thiago Pereira ;01/11/2022;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;-90385.21
Thiago Pereira ;01/11/2022;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;39839.78
Thiago Pereira ;01/11/2022;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;44964.69
Thiago Pereira ;01/11/2022;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;5527.33
Thiago Pereira ;01/11/2022;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;12115.89
Thiago Pereira ;01/11/2022;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;28777.61
Thiago Pereira ;01/11/2022;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;73520.26
Thiago Pereira ;01/11/2022;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;10090.63
Thiago Pereira ;01/11/2022;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;29824.29
Thiago Pereira ;01/11/2022;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;39730.39
Thiago Pereira ;01/11/2022;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;38791.52
Thiago Pereira ;01/11/2022;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;15630.60
Thiago Pereira ;01/11/2022;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;30260.84
Thiago Pereira ;01/11/2022;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;26791.80
Thiago Pereira ;01/11/2022;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;43984.75
Thiago Pereira ;01/11/2022;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;17498.39
Thiago Pereira ;01/11/2022;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;31744.52
Thiago Pereira ;01/11/2022;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;9442.34
